iter	RMSE
0	0.6016633153
1	0.5765512085
2	0.5524889836
3	0.5293729417
4	0.5078721372
5	0.4881307874
6	0.4695929451
7	0.4508662466
8	0.4332268986
9	0.4170864039
10	0.401940794
11	0.3867114835
12	0.3723274113
13	0.3593456448
14	0.3465737801
15	0.3347236277
16	0.3233121397
17	0.3120592095
18	0.301934816
19	0.2922281781
20	0.2835261082
21	0.2748349212
22	0.2668399638
23	0.2592629781
24	0.2523054476
25	0.2459978605
26	0.2397714258
27	0.2340610174
28	0.2286458035
29	0.2234423713
30	0.2185651154
31	0.2142461626
32	0.209811209
33	0.2062328476
34	0.2027515934
35	0.1992186011
36	0.1958994722
37	0.1927097413
38	0.1898730493
39	0.1873758679
40	0.1847477865
41	0.1825735503
42	0.1804863237
43	0.178486292
44	0.1764742147
45	0.1747711182
46	0.173198322
47	0.1717450888
48	0.1704685728
49	0.1691450486
50	0.1678257055
51	0.1666377152
52	0.1655595185
53	0.1644879066
54	0.1636403453
55	0.1627588453
56	0.1620317711
57	0.1612508708
58	0.1605182011
59	0.1598070816
60	0.1591886803
61	0.1585591836
62	0.1580390369
63	0.15748413
64	0.1570170774
65	0.15647876
66	0.1559286409
67	0.1554403804
68	0.1548821362
69	0.1544573264
70	0.1539630915
71	0.1536058748
72	0.1531664918
73	0.1527601768
74	0.1524087718
75	0.152098823
76	0.1517278435
77	0.1513514082
78	0.1510579343
79	0.150769622
80	0.1504885661
81	0.1502674101
82	0.1499790662
83	0.1498162352
84	0.1495724576
85	0.1493883284
86	0.1491658986
87	0.1490937675
88	0.1489063158
89	0.1487713349
90	0.148660433
91	0.1484649994
92	0.1482552711
93	0.148131755
94	0.14800899
95	0.1478632115
96	0.1477399481
97	0.147532135
98	0.1473801132
99	0.147220569
100	0.1469984187
101	0.1468554321
102	0.1467611984
103	0.1466386571
104	0.1465508676
105	0.1463633859
106	0.1462381792
107	0.1461331258
108	0.1459842458
109	0.14582415
110	0.145698323
111	0.1456034004
112	0.1454594816
113	0.1453273389
114	0.1451985963
115	0.1450646737
116	0.1449474406
117	0.1448658882
118	0.1447669369
119	0.144703087
120	0.1445276134
121	0.1444145112
122	0.1442723864
123	0.1441202337
124	0.1440307009
125	0.1439852492
126	0.1438732341
127	0.1437667161
128	0.14366818
129	0.1436138737
130	0.1435247914
131	0.143448403
132	0.1433902168
133	0.1433258996
134	0.1432565526
135	0.1431344182
136	0.1430571517
137	0.142918513
138	0.142833926
139	0.1427013629
140	0.1426548465
141	0.1425133399
142	0.1424082741
143	0.1423536482
144	0.1422899079
145	0.1422047086
146	0.1421168219
147	0.1420157353
148	0.1418887176
149	0.1418484738
150	0.1417867975
151	0.1416834263
152	0.1416344153
153	0.1415309033
154	0.1414354446
155	0.1413375666
156	0.1412068223
157	0.1411911185
158	0.1411083462
159	0.1410179829
160	0.1409826675
161	0.1409227129
162	0.1408772311
163	0.1408112624
164	0.1407449884
165	0.1406330001
166	0.1405869031
167	0.140528997
168	0.1404822722
169	0.1404277872
170	0.1403545531
171	0.1403178395
172	0.1402318284
173	0.1401807359
174	0.1400937629
175	0.1400624032
176	0.1400130422
177	0.139972469
178	0.1398548814
179	0.1398304336
180	0.1397982903
181	0.1397369811
182	0.1396640308
183	0.1396416289
184	0.1395904018
185	0.1395568857
186	0.1395138022
187	0.1394225712
188	0.1393759593
189	0.1393098447
190	0.1392767933
191	0.1392508706
192	0.1391778637
193	0.1391432496
194	0.1390911192
195	0.1390605379
196	0.1390380892
197	0.1389282878
198	0.1388651583
199	0.1388299021
200	0.1387058697
201	0.1386459829
202	0.1386136911
203	0.1385415981
204	0.1384642181
205	0.1384350432
206	0.1383835429
207	0.1383142876
208	0.138257338
209	0.1381568076
210	0.1380798012
211	0.1379436569
212	0.1378435099
213	0.1377581866
214	0.1377461852
215	0.1377298196
216	0.1376983186
217	0.1376685239
218	0.1376088277
219	0.1375722441
220	0.1375623934
221	0.1374346208
222	0.1374005688
223	0.1373628947
224	0.1373401261
